"day","month","temp_min","temp_max"
1,"January",-14.5660331087021,-1.44741582085936
2,"January",-11.7960596808813,-2.57042747636298
3,"January",-8.4225167665981,-3.67716119716835
4,"January",-8.83047392472763,-0.812477008772404
5,"January",-14.8943530408033,-5.00299278111564
6,"January",-10.2992776188452,0.858034719082033
7,"January",-8.6582883452774,1.44354725968263
8,"January",-10.6662624392002,-2.47443415196308
9,"January",-8.32976124356745,-2.51638245146714
10,"January",-12.9455275683077,-2.76624810571517
11,"January",-12.771770190826,-0.588073872620834
12,"January",-15.3480715015237,-2.81842728483428
13,"January",-15.255748181148,-3.12064466962963
14,"January",-12.1144440348361,1.64853611036526
15,"January",-9.75587207850347,1.9520762893581
16,"January",-16.9012023115367,-3.66248041400286
17,"January",-11.1495897849301,-4.12008377651326
18,"January",-18.5319281511777,-3.51625856377949
19,"January",-9.50243461094687,-3.29552106013775
20,"January",-11.7463503998637,0.357348521890445
21,"January",-2.39513269975327,-1.15857777806041
22,"January",-6.5450795991798,-5.99407528513224
23,"January",-10.034375187148,5.18258884038395
24,"January",-11.0707275456461,-0.747717862116287
25,"January",-15.7080630701548,-5.6326715113719
26,"January",-16.5676775933055,-0.93915161587212
27,"January",-17.8048212776122,-2.7364307708121
28,"January",-15.2651804117374,-7.94913782588389
29,"January",-11.5203170808313,-6.50191808752074
30,"January",-9.94677191248153,-4.31647808928724
31,"January",-11.4909297017045,-2.35318997585401
