"day","month","temp_min","temp_max"
1,"January",-11.6324435480413,-5.96762165841763
2,"January",-14.0615336711015,1.91889596910912
3,"January",-12.5976668421846,-6.58829501915581
4,"January",-12.0451339298209,-0.858685941615871
5,"January",-15.0239133600245,-4.15573121133924
6,"January",-13.6480878214068,-5.82675418569907
7,"January",-9.78592796633506,-0.733243978919588
8,"January",-9.72149596672942,1.44614346292882
9,"January",-12.7616450789437,-2.42256745623796
10,"January",-15.8325857529995,0.0913299894375363
11,"January",-7.81503288217069,-9.11198404022368
12,"January",-12.3687085485106,-4.58664546070216
13,"January",-10.6377606048901,4.40513616702975
14,"January",-18.5214625167493,1.70467895635741
15,"January",-15.1710562161425,-0.355748060306351
16,"January",-9.21900832571669,-3.43166805403726
17,"January",-13.2411023796987,-2.26540698819587
18,"January",-12.0623288340391,-7.14060485787447
19,"January",-11.4426834361472,0.223198526130505
20,"January",-16.8298263499243,-2.32106535823821
21,"January",-14.4816398702465,0.804872413595195
22,"January",-17.3926478853259,-1.90403448242472
23,"January",-11.1096512353449,-4.11308107136372
24,"January",-14.636563847571,-2.91172212714238
25,"January",-12.7822806298805,-3.42364507005109
26,"January",-12.6016947642131,2.49395778368602
27,"January",-17.8777920256034,-1.1022726686857
28,"January",-8.5808082626966,-3.69956417827835
29,"January",-13.3860765234904,-0.63685789392739
30,"January",-14.2508357833938,2.55735782028875
31,"January",-8.48338719553093,-3.72204116954034
