"day","month","temp_min","temp_max"
1,"January",-12.8084393233408,-2.54287578464585
2,"January",-8.83431229006951,0.77959101934943
3,"January",-19.7693131588734,-6.18362865361538
4,"January",-12.4723932194468,0.937902814886906
5,"January",-10.1683918726777,-2.23653923363364
6,"January",-16.9734849526078,-3.76059349177895
7,"January",-11.0245497870431,2.34385410614679
8,"January",-13.1058580848795,1.17894678304623
9,"January",-13.5519260658601,-6.30410578349109
10,"January",-10.7926267684517,-3.80542092574637
11,"January",-9.30606063280288,-3.829168991607
12,"January",-8.27192315909417,-1.92565020315673
13,"January",-13.9926169728721,-1.81029333678017
14,"January",-9.87884276346436,-2.01904484917466
15,"January",-13.3789505626036,-3.85568003191899
16,"January",-11.4783358850894,-6.60359409191521
17,"January",-9.01820766607574,-1.2744633339398
18,"January",-11.6840552384775,-1.34381380437017
19,"January",-12.5776050535511,-2.07328023102494
20,"January",-10.67232369404,0.31787618306283
21,"January",-12.532775918892,1.70310377608726
22,"January",-9.17638854878152,-2.02888475034261
23,"January",-14.5997743830071,-1.53259499771684
24,"January",-16.8503768010691,-5.28906663370577
25,"January",-13.8295916510881,-5.37816011912799
26,"January",-10.0525536537928,-4.53720424566385
27,"January",-14.1216201637238,-3.90380514846454
28,"January",-12.9129813845789,-0.64101707770379
29,"January",-7.20674335298167,-6.28979179949641
30,"January",-10.9966347029482,-1.15060379638913
31,"January",-13.827692558313,-4.68281638278128
