"day","month","temp_min","temp_max"
1,"January",-5.77050071119265,-6.92594805761082
2,"January",-11.882985174659,-3.89120659972231
3,"January",-11.6352764380926,-0.503919394549302
4,"January",-14.409155991517,-0.648125334750257
5,"January",-9.89837467262456,-0.231449773018536
6,"January",-10.9073829968146,-3.56685905915768
7,"January",-12.7701505695288,-10.0053651319832
8,"January",-7.39223379793109,-5.63940437875685
9,"January",-8.82365311566987,-3.34719769360013
10,"January",-8.83962350868978,-0.413905820020199
11,"January",-16.5209913939788,-4.11523475185527
12,"January",-14.1241756463917,-0.268835493734595
13,"January",-10.4465597511815,-0.778910200301355
14,"January",-12.1135589099152,2.44059544649837
15,"January",-9.26061171685457,-3.23468920052092
16,"January",-12.9224569961917,-4.19517061164431
17,"January",-11.6621675196614,-7.5740420579321
18,"January",-8.2163403805374,-3.32928730868243
19,"January",-9.16120011535307,0.909193268955662
20,"January",-11.1894707282241,-3.57348639009533
21,"January",-13.762392316669,-4.37735714464684
22,"January",-11.6194265232625,-6.5374412444621
23,"January",-11.5386643761581,-5.58741629317804
24,"January",-9.23537144559258,-2.65144392097281
25,"January",-15.6963321259891,-4.08657232142511
26,"January",-8.14453828982235,0.322310267063024
27,"January",-14.210185632823,-6.08986406395123
28,"January",-16.3103111942198,-1.83052519638879
29,"January",-13.2129685402812,-8.19846113879119
30,"January",-9.15869015586747,-3.33801024869473
31,"January",-10.8774375554259,-1.96064147661446
