"day","month","temp_min","temp_max"
1,"January",-11.0584232292755,-5.51395088539283
2,"January",-10.0414541922279,2.30633859385822
3,"January",-11.1530643487921,-0.47193075178639
4,"January",-10.6380429207766,-2.28033615436892
5,"January",-6.11821568288752,-3.49037392329853
6,"January",-12.7708058139653,-4.85371907707816
7,"January",-9.09251037517082,-1.48320489761948
8,"January",-12.6436090940625,3.14356382139787
9,"January",-9.26232927187132,-0.183050716303558
10,"January",-11.9028301067165,-2.87533863762933
11,"January",-14.1889501159044,-2.30731636328295
12,"January",-18.9738386890689,-10.1440677045363
13,"January",-17.9001418579956,-2.18126806934782
14,"January",-11.2826029662062,0.686471456341839
15,"January",-9.14504577550771,-2.58248858906848
16,"January",-13.1925528205884,-5.78548551739055
17,"January",-15.0464500791203,-1.85445175520878
18,"January",-15.1989108633081,-3.75397691993002
19,"January",-12.6643155933258,-0.457092527817809
20,"January",-17.604558757825,-3.12111535160468
21,"January",-9.88858040398151,-0.393596950391515
22,"January",-11.2821148299482,-0.182800720017747
23,"January",-15.293339720526,-7.9342402597014
24,"January",-13.1407376185852,-6.55784057497738
25,"January",-15.7269218294634,-1.19196589938848
26,"January",-10.0688151713035,0.521645826691543
27,"January",-11.9282446782353,0.463482273606698
28,"January",-8.3719833723249,-0.658118130103491
29,"January",-8.66545798684049,-0.210283439196399
30,"January",-15.2658415117876,-3.74363459273785
31,"January",-11.960490567705,-3.76638762475725
