"day","month","temp_min","temp_max"
1,"January",-7.11513487952318,-0.616872421556173
2,"January",-12.4077011899926,-6.61692584752739
3,"January",-15.9470594314857,-4.85884835692239
4,"January",-18.0196776291024,-3.39959162041525
5,"January",-10.3355587499254,1.19804992689986
6,"January",-14.7089718523355,-4.21408058619444
7,"January",-10.3504835406415,-4.58411724575042
8,"January",-7.98907249688158,-2.09131241475706
9,"January",-8.97923338704828,-4.03568435228022
10,"January",-15.9574311652818,-1.7302884059312
11,"January",-10.2054271564817,-5.04553474558116
12,"January",-14.8022617268726,3.91992758756371
13,"January",-9.80825345188473,-4.43967481498832
14,"January",-12.5041414814553,-2.99955204740254
15,"January",-14.4075127271176,-4.36913682354756
16,"January",-15.4878679016129,-1.76896123140519
17,"January",-10.4934855387314,-4.45257212241353
18,"January",-11.8488655518327,1.42322950010607
19,"January",-8.76462634582372,-7.34368703039606
20,"January",-13.4068811073231,-3.68060865078347
21,"January",-14.0709473996162,0.488196026858571
22,"January",-14.0209142344979,0.0534578836864266
23,"January",-13.004521331104,-5.93309049737481
24,"January",-9.83084753061227,1.63615935846656
25,"January",-13.5305233688141,-2.2297024657532
26,"January",-15.2993761491491,-4.42330899568452
27,"January",-10.1798693591163,1.8867621821082
28,"January",-9.05768027952924,-5.75583659438541
29,"January",-12.7052406741939,1.54070419998836
30,"January",-10.1103591272922,-5.46886029957968
31,"January",-12.0510013200379,-5.64826381867821
