"day","month","temp_min","temp_max"
1,"January",-9.15386158456547,-0.7247152584806
2,"January",-15.2648774262091,2.14400398452554
3,"January",-10.739466947976,-2.29283164017457
4,"January",-17.366559213115,-6.46726862065803
5,"January",-13.3956198337107,-1.01176580212692
6,"January",-12.0250628994007,3.68085267059826
7,"January",-12.2436747628218,-4.02440286705611
8,"January",-7.30118152026176,3.28160742915347
9,"January",-8.75711166565114,2.83377450957794
10,"January",-11.1015008638263,-7.21923060811695
11,"January",-9.31109588351326,1.18965735888543
12,"January",-6.8562770232667,-4.93262839704298
13,"January",-13.0293435726842,-1.22259721055999
14,"January",-9.93028857724982,-1.56935671070364
15,"January",-12.5367765708243,-6.01979490411056
16,"January",-13.0975528082424,0.0709055916250145
17,"January",-8.26384201772654,-0.162178907496688
18,"January",-7.89761403556637,-5.73103412862314
19,"January",-16.1629011700909,-7.35026287208827
20,"January",-11.6638158263689,-6.6269640868026
21,"January",-8.85228641678467,1.98062154605294
22,"January",-13.5861855860205,-1.94384618981541
23,"January",-11.5981973566831,-1.87995281209577
24,"January",-17.8280760824408,-5.56406577364111
25,"January",-11.8505303520854,-2.00533947769495
26,"January",-16.2469488785341,0.931550822872965
27,"January",-8.69432361372093,3.68436565473037
28,"January",-10.5308804747331,-4.49652345638784
29,"January",-9.79114948291517,-7.94584634255787
30,"January",-13.5900556815705,-0.903960795484215
31,"January",-16.360578589084,-2.31287653872703
